pmcid,pmid,title,author_count,first_author,publication_date,journal,doi,abstract,keywords,section_count,total_words,nasa_related,mentions_iss,mentions_microgravity
PMC4136787,25133741,Mice in Bion-M 1 Space Mission: Training and Selection,13,Alexander Andreev-Andrievskiy,2014 Aug 18,PLoS ONE,10.1371/journal.pone.0104830,"After a 16-year hiatus, Russia has resumed its program of biomedical research in space, with the successful 30-day flight of the Bion-M 1 biosatellite (April 19–May 19, 2013). The principal species for biomedical research in this project was the mouse. This paper presents an overview of the scientific goals, the experimental design and the mouse training/selection program. The aim of mice experiments in the Bion-M 1 project was to elucidate cellular and molecular mechanisms, underlying the adaptation of key physiological systems to long-term exposure in microgravity. The studies with mice combined in vivo measurements, both in flight and post-flight (including continuous blood pressure measurement), with extensive in vitro studies carried out shortly after return of the mice and in the end of recovery study. Male C57/BL6 mice group housed in space habitats were flown aboard the Bion-M 1 biosatellite, or remained on ground in the control experiment that replicated environmental and housing conditions in the spacecraft. Vivarium control groups were used to account for housing effects and possible seasonal differences. Mice training included the co-adaptation in housing groups and mice adaptation to paste food diet. The measures taken to co-adapt aggressive male mice in housing groups and the peculiarities of “space” paste food are described. The training program for mice designated for in vivo studies was broader and included behavioral/functional test battery and continuous behavioral measurements in the home-cage. The results of the preliminary tests were used for the selection of homogenous groups. After the flight, mice were in good condition for biomedical studies and displayed signs of pronounced disadaptation to Earth's gravity. The outcomes of the training program for the mice welfare are discussed. We conclude that our training program was effective and that male mice can be successfully employed in space biomedical research.",,36,7891,True,True,True
PMC11593819,39596110,Artificial Gravity Attenuates the Transcriptomic Response to Spaceflight in the Optic Nerve and Retina,10,Isaac Kremsky,2024 Nov 9,International Journal of Molecular Sciences,10.3390/ijms252212041,"The development of eye pathology is a serious concern for astronauts who spend time in deep space. Microgravity is a major component of the spaceflight environment which could have adverse effects on ocular health. The use of centrifugation to exert forces that partially or fully mimic Earth-level gravity in space is a possible countermeasure to mitigate the effects of microgravity on the eye. Therefore, we subjected mice on the International Space Station (ISS) to microgravity (0 G) or artificial gravity by centrifugation at 0.33 G, 0.67 G, and 1 G, and then performed RNA sequencing (RNA-seq) on optic nerve and retinal tissue after returning them to Earth alive. We find that the microgravity environment induces transcriptomic changes in the optic nerve and retina consistent with an increased oxidative stress load, inflammation, apoptosis, and lipid metabolic stress. We also find that adding artificial gravity on board the ISS attenuates the transcriptomic response to microgravity in a dose-dependent manner. Such attenuation may effectively protect from and mitigate spaceflight-induced detrimental effects on ocular tissue.",,32,5721,True,True,True
PMC11167039,38862543,Bioreactor development for skeletal muscle hypertrophy and atrophy by manipulating uniaxial cyclic strain: proof of concept,4,Khaled Y Kamal,2024 Jun 11,NPJ Microgravity,10.1038/s41526-023-00320-0,"Skeletal muscles overcome terrestrial, gravitational loading by producing tensile forces that produce movement through joint rotation. Conversely, the microgravity of spaceflight reduces tensile loads in working skeletal muscles, causing an adaptive muscle atrophy. Unfortunately, the design of stable, physiological bioreactors to model skeletal muscle tensile loading during spaceflight experiments remains challenging. Here, we tested a bioreactor that uses initiation and cessation of cyclic, tensile strain to induce hypertrophy and atrophy, respectively, in murine lineage (C2C12) skeletal muscle myotubes. Uniaxial cyclic stretch of myotubes was conducted using a StrexCell® (STB-1400) stepper motor system (0.75 Hz, 12% strain, 60 min day^-1). Myotube groups were assigned as follows: (a) quiescent over 2- or (b) 5-day (no stretch), (c) experienced 2-days (2dHY) or (d) 5-days (5dHY) of cyclic stretch, or (e) 2-days of cyclic stretch followed by a 3-day cessation of stretch (3dAT). Using ß-sarcoglycan as a sarcolemmal marker, mean myotube diameter increased significantly following 2dAT (51%) and 5dAT (94%) vs. matched controls. The hypertrophic, anabolic markers talin and Akt phosphorylation (Thr308) were elevated with 2dHY but not in 3dAT myotubes. Inflammatory, catabolic markers IL-1ß, IL6, and NF-kappaB p65 subunit were significantly higher in the 3dAT group vs. all other groups. The ratio of phosphorylated FoxO3a/total FoxO3a was significantly lower in 3dAT than in the 2dHY group, consistent with elevated catabolic signaling during unloading. In summary, we demonstrated proof-of-concept for a spaceflight research bioreactor, using uniaxial cyclic stretch to produce myotube hypertrophy with increased tensile loading, and myotube atrophy with subsequent cessation of stretch.",,25,5353,True,True,True
PMC9365836,35948598,Characterization of gene expression profiles in the mouse brain after 35 days of spaceflight mission,6,Jacob M Holley,2022 Aug 10,NPJ Microgravity,10.1038/s41526-022-00217-4,"It has been proposed that neuroinflammatory response plays an important role in the neurovascular remodeling in the brain after stress. The goal of the present study was to characterize changes in the gene expression profiles associated with neuroinflammation, neuronal function, metabolism and stress in mouse brain tissue. Ten-week old male C57BL/6 mice were launched to the International Space Station (ISS) on SpaceX-12 for a 35-day mission. Within 38 ± 4 h of splashdown, mice were returned to Earth alive. Brain tissues were collected for analysis. A novel digital color-coded barcode counting technology (NanoString TM ) was used to evaluate gene expression profiles in the spaceflight mouse brain. A set of 54 differently expressed genes ( p < 0.05) significantly segregates the habitat ground control (GC) group from flight (FLT) group. Many pathways associated with cellular stress, inflammation, apoptosis, and metabolism were significantly altered by flight conditions. A decrease in the expression of genes important for oligodendrocyte differentiation and myelin sheath maintenance was observed. Moreover, mRNA expression of many genes related to anti-viral signaling, reactive oxygen species (ROS) generation, and bacterial immune response were significantly downregulated. Here we report that significantly altered immune reactions may be closely associated with spaceflight-induced stress responses and have an impact on the neuronal function.",,28,4732,True,True,True
PMC7064724,32194611,Root Skewing-Associated Genes Impact the Spaceflight Response of Arabidopsis thaliana,5,Brandon Califar,2020 Mar 4,Frontiers in Plant Science,10.3389/fpls.2020.00239,"The observation that plant roots skew in microgravity recently refuted the long-held conviction that skewing was a gravity-dependent phenomenon. Further, spaceflight root skewing suggests that specific root morphologies and cell wall remodeling systems may be important aspects of spaceflight physiological adaptation. However, connections between skewing, cell wall modification and spaceflight physiology are currently based on inferences rather than direct tests. Therefore, the Advanced Plant Experiments-03-2 (APEX-03-2) spaceflight study was designed to elucidate the contribution of two skewing- and cell wall-associated genes in Arabidopsis to root behavior and gene expression patterns in spaceflight, to assess whether interruptions of different skewing pathways affect the overall spaceflight-associated process. SPIRAL1 is a skewing-related protein implicated in directional cell expansion, and functions by regulating cortical microtubule dynamics. SKU5 is skewing-related glycosylphosphatidylinositol-anchored protein of the plasma membrane and cell wall implicated in stress response signaling. These two genes function in different cellular pathways that affect skewing on the Earth, and enable a test of the relevance of skewing pathways to spaceflight physiological adaptation. In this study, both sku5 and spr1 mutants showed different skewing behavior and markedly different patterns of gene expression in the spaceflight environment. The spr1 mutant showed fewer differentially expressed genes than its Col-0 wild-type, whereas sku5 showed considerably more than its WS wild-type. Developmental age played a substantial role in spaceflight acclimation in all genotypes, but particularly in sku5 plants, where spaceflight 4d seedlings had almost 10-times as many highly differentially expressed genes as the 8d seedlings. These differences demonstrated that the two skewing pathways represented by SKU5 and SPR1 have unique and opposite contributions to physiological adaptation to spaceflight. The spr1 response is less intense than wild type, suggesting that the loss of SPR1 positively impacts spaceflight adaptation. Conversely, the intensity of the sku5 responses suggests that the loss of SKU5 initiates a much more complex, deeper and more stress related response to spaceflight. This suggests that proper SKU5 function is important to spaceflight adaptation.",,33,12212,True,True,True
PMC4103452,25202579,A method for preparing spaceflight RNAlater-fixed Arabidopsis thaliana (Brassicaceae) tissue for scanning electron microscopy,4,Eric R Schultz,2013 Jul 29,Applications in Plant Sciences,10.3732/apps.1300034,"• Premise of the study: In spaceflight experiments, tissues for morphologic study are fixed in 3% glutaraldehyde, while tissues for molecular study are fixed in RNA later ; thus, an experiment containing both study components requires multiple fixation strategies. The possibility of using RNA later -fixed materials for standard SEM-based morphometric investigation was explored to expand the library of tissues available for analysis and maximize usage of samples returned from spaceflight, but these technologies have wide application to any situation where recovery of biological resources is limited. • Methods and Results: RNA later -fixed samples were desalinated in distilled water, dehydrated through graded methanol, plunged into liquid ethane, and transferred to cryovials for freeze-substitution. Sample tissues were critical point dried, mounted, sputter-coated, and imaged. • Conclusions: The protocol resulted in acceptable SEM images from RNA later -fixed Arabidopsis thaliana tissue. The majority of the tissues remained intact, including general morphology and finer details such as root hairs and trichomes.",,6,1714,True,True,True
PMC4309212,25667933,Genes Required for Survival in Microgravity Revealed by Genome-Wide Yeast Deletion Collections Cultured during Spaceflight,10,Corey Nislow,2015 Jan 13,BioMed Research International,10.1155/2015/976458,"Spaceflight is a unique environment with profound effects on biological systems including tissue redistribution and musculoskeletal stresses. However, the more subtle biological effects of spaceflight on cells and organisms are difficult to measure in a systematic, unbiased manner. Here we test the utility of the molecularly barcoded yeast deletion collection to provide a quantitative assessment of the effects of microgravity on a model organism. We developed robust hardware to screen, in parallel, the complete collection of ~4800 homozygous and ~5900 heterozygous (including ~1100 single-copy deletions of essential genes) yeast deletion strains, each carrying unique DNA that acts as strain identifiers. We compared strain fitness for the homozygous and heterozygous yeast deletion collections grown in spaceflight and ground, as well as plus and minus hyperosmolar sodium chloride, providing a second additive stressor. The genome-wide sensitivity profiles obtained from these treatments were then queried for their similarity to a compendium of drugs whose effects on the yeast collection have been previously reported. We found that the effects of spaceflight have high concordance with the effects of DNA-damaging agents and changes in redox state, suggesting mechanisms by which spaceflight may negatively affect cell fitness.",,23,5280,True,True,True
PMC6560652,31258252,Physical Forces Modulate Oxidative Status and Stress Defense Meditated Metabolic Adaptation of Yeast Colonies: Spaceflight and Microgravity Simulations,7,Timothy G Hammond,2017 Dec 29,Microgravity Science and Technology,10.1007/s12217-017-9588-z,"Baker’s yeast ( Saccharomyces cerevisiae ) has broad genetic homology to human cells. Although typically grown as 1-2mm diameter colonies under certain conditions yeast can form very large (10 + mm in diameter) or ‘giant’ colonies on agar. Giant yeast colonies have been used to study diverse biomedical processes such as cell survival, aging, and the response to cancer pharmacogenomics. Such colonies evolve dynamically into complex stratified structures that respond differentially to environmental cues. Ammonia production, gravity driven ammonia convection, and shear defense responses are key differentiation signals for cell death and reactive oxygen system pathways in these colonies. The response to these signals can be modulated by experimental interventions such as agar composition, gene deletion and application of pharmaceuticals. In this study we used physical factors including colony rotation and microgravity to modify ammonia convection and shear stress as environmental cues and observed differences in the responses of both ammonia dependent and stress response dependent pathways We found that the effects of random positioning are distinct from rotation. Furthermore, both true and simulated microgravity exacerbated both cellular redox responses and apoptosis. These changes were largely shear-response dependent but each model had a unique response signature as measured by shear stress genes and the promoter set which regulates them These physical techniques permitted a graded manipulation of both convection and ammonia signaling and are primed to substantially contribute to our understanding of the mechanisms of drug action, cell aging, and colony differentiation.",,18,5390,True,True,True
PMC6081456,30109261,Acceleration profiles and processing methods for parabolic flight,6,Christopher E Carr,2018 Aug 7,NPJ Microgravity,10.1038/s41526-018-0050-3,"Parabolic flights provide cost-effective, time-limited access to “weightless” or reduced gravity conditions, facilitating research and validation activities that complement infrequent and costly access to space. Although parabolic flights have been conducted for decades, reference acceleration profiles and processing methods are not widely available. Here we present a solution for collecting, analyzing, and classifying the altered gravity environments experienced during parabolic flights, which we validated during a Boeing 727-200F flight with 20 parabolas. All data and analysis code are freely available. Our solution can be integrated with diverse experimental designs, does not depend upon accelerometer orientation, and allows unsupervised classification of all phases of flight, providing a consistent and open-source approach to quantifying gravito-inertial accelerations (GIA), or g levels. As academic, governmental, and commercial use of space advances, data availability and validated processing methods will enable better planning, execution, and analysis of parabolic flight experiments, and thus facilitate future space activities.",,21,2872,True,True,True
PMC6240453,30473943,Comparing RNA‐Seq and microarray gene expression data in two zones of the Arabidopsis root apex relevant to spaceflight,3,Aparna Krishnamurthy,2018 Nov 14,Applications in Plant Sciences,10.1002/aps3.1197,,,25,4002,True,True,True
PMC4411250,25870206,The ongoing search for the molecular basis of plant osmosensing,2,Elizabeth S Haswell,2015 May,The Journal of General Physiology,10.1085/jgp.201411295,,,14,3417,False,True,False
PMC8509868,34637435,RNAseq and RNA molecular barcoding reveal differential gene expression in cortical bone following hindlimb unloading in female mice,5,Jordan M Spatz,2021 Oct 12,PLoS ONE,10.1371/journal.pone.0250715,"Disuse-induced bone loss is seen following spinal cord injury, prolonged bed rest, and exposure to microgravity. We performed whole transcriptomic profiling of cortical bone using RNA sequencing (RNAseq) and RNA molecular barcoding (NanoString) on a hindlimb unloading (HLU) mouse model to identify genes whose mRNA transcript abundances change in response to disuse. Eleven-week old female C57BL/6 mice were exposed to ambulatory loading or HLU for 7 days (n = 8/group). Total RNA from marrow-flushed femoral cortical bone was analyzed on HiSeq and NanoString platforms. The expression of several previously reported genes associated with Wnt signaling and metabolism was altered by HLU. Furthermore, the increased abundance of transcripts, such as Pfkfb3 and Mss51, after HLU imply these genes also have roles in the cortical bone’s response to altered mechanical loading. Our study demonstrates that an unbiased approach to assess the whole transcriptomic profile of cortical bone can reveal previously unidentified mechanosensitive genes and may eventually lead to novel targets to prevent disuse-induced osteoporosis.",,13,2257,False,True,True
PMC3630201,23637819,"Microgravity Induces Pelvic Bone Loss through Osteoclastic Activity, Osteocytic Osteolysis, and Osteoblastic Cell Cycle Inhibition by CDKN1a/p21",9,Elizabeth A Blaber,2013 Apr 18,PLoS ONE,10.1371/journal.pone.0061372,"Bone is a dynamically remodeled tissue that requires gravity-mediated mechanical stimulation for maintenance of mineral content and structure. Homeostasis in bone occurs through a balance in the activities and signaling of osteoclasts, osteoblasts, and osteocytes, as well as proliferation and differentiation of their stem cell progenitors. Microgravity and unloading are known to cause osteoclast-mediated bone resorption; however, we hypothesize that osteocytic osteolysis, and cell cycle arrest during osteogenesis may also contribute to bone loss in space. To test this possibility, we exposed 16-week-old female C57BL/6J mice (n = 8) to microgravity for 15-days on the STS-131 space shuttle mission. Analysis of the pelvis by µCT shows decreases in bone volume fraction (BV/TV) of 6.29%, and bone thickness of 11.91%. TRAP-positive osteoclast-covered trabecular bone surfaces also increased in microgravity by 170% (p = 0.004), indicating osteoclastic bone degeneration. High-resolution X-ray nanoCT studies revealed signs of lacunar osteolysis, including increases in cross-sectional area (+17%, p = 0.022), perimeter (+14%, p = 0.008), and canalicular diameter (+6%, p = 0.037). Expression of matrix metalloproteinases (MMP) 1, 3, and 10 in bone, as measured by RT-qPCR, was also up-regulated in microgravity (+12.94, +2.98 and +16.85 fold respectively, p<0.01), with MMP10 localized to osteocytes, and consistent with induction of osteocytic osteolysis. Furthermore, expression of CDKN1a/p21 in bone increased 3.31 fold (p<0.01), and was localized to osteoblasts, possibly inhibiting the cell cycle during tissue regeneration as well as conferring apoptosis resistance to these cells. Finally the apoptosis inducer Trp53 was down-regulated by −1.54 fold (p<0.01), possibly associated with the quiescent survival-promoting function of CDKN1a/p21. In conclusion, our findings identify the pelvic and femoral region of the mouse skeleton as an active site of rapid bone loss in microgravity, and indicate that this loss is not limited to osteoclastic degradation. Therefore, this study offers new evidence for microgravity-induced osteocytic osteolysis, and CDKN1a/p21-mediated osteogenic cell cycle arrest.",,32,8217,True,True,True
PMC5899691,29524209,"Morphology of the Utricular Otolith Organ in the Toadfish, Opsanus tau",5,Richard Boyle,2018 Mar 23,The Journal of comparative neurology,10.1002/cne.24429,"The utricle provides the vestibular reflex pathways with the sensory codes of inertial acceleration of self motion and head orientation with respect to gravity to control balance and equilibrium. Here we present an anatomical description of this structure in the adult oyster toadfish, and establish a morphological basis for interpretation of subsequent functional studies. Light, scanning and transmission electron microscopy techniques were applied to visualize the sensory epithelium at varying levels of detail, its neural innervation and its synaptic organization. Scanning electron microscopy was used to visualize otolith mass and morphological polarization patterns of hair cells. Afferent nerve fibers were visualized following labeling with biocytin, and light microscope images were used to make three-dimensional (3-D) reconstructions of individual labeled afferents to identify dendritic morphology with respect to epithelial location. Transmission electron micrographs were compiled to create a serial 3-D reconstruction of a labeled afferent over a segment of its dendritic field and to examine the cell-afferent synaptic contacts. Major observations are: a well-defined striola, medial and lateral extra-striolar regions with a zonal organization of hair bundles; prominent lacinia projecting laterally; dependence of hair cell density on macular location; narrow afferent dendritic fields that follow the hair bundle polarization; synaptic specializations issued by afferents are typically directed towards a limited number of 7–13 hair cells, but larger dendritic fields in the medial extra-striola can be associated with > 20 hair cells also; and hair cell synaptic bodies can be confined to only an individual afferent or can synapse upon several afferents.",,25,9442,True,True,True
PMC9832585,36336375,Inter-agency perspective: Translating advances in biomarker discovery and medical countermeasures development between terrestrial and space radiation environments,4,Andrea L DiCarlo,2022 Jun 14,Life sciences in space research,10.1016/j.lssr.2022.06.004,"Over the past 20+ years, the U.S. Government has made significant strides in establishing research funding and initiating a portfolio consisting of subject matter experts on radiation-induced biological effects in normal tissues. Research supported by the National Cancer Institute (NCI) provided much of the early findings on identifying cellular pathways involved in radiation injuries, due to the need to push the boundaries to kill tumor cells while minimizing damage to intervening normal tissues. By protecting normal tissue surrounding the tumors, physicians can deliver a higher radiation dose to tumors and reduce adverse effects related to the treatment. Initially relying on this critical NCI research, the National Institute of Allergy and Infectious Diseases (NIAID), first tasked with developing radiation medical countermeasures in 2004, has provided bridge funding to move basic research toward advanced development and translation. The goal of the NIAID program is to fund approaches that can one day be employed to protect civilian populations during a radiological or nuclear incident. In addition, with the reality of long-term space flights and the possibility of radiation exposures to both acute, high-intensity, and chronic lower-dose levels, the National Aeronautics and Space Administration (NASA) has identified requirements to discover and develop radioprotectors and mitigators to protect their astronauts during space missions. In sustained partnership with sister agencies, these three organizations must continue to leverage funding and findings in their overlapping research areas to accelerate biomarker identification and product development to help safeguard these different and yet undeniably similar human populations – cancer patients, public citizens, and astronauts.",,34,7398,True,True,False
PMC7314936,32625217,Hardware Validation of the Advanced Plant Habitat on ISS: Canopy Photosynthesis in Reduced Gravity,7,Oscar Monje,2020 Jun 18,Frontiers in Plant Science,10.3389/fpls.2020.00673,"The Advanced Plant Habitat (APH) is the largest research plant growth facility deployed on the International Space Station (ISS). APH is a fully enclosed, closed-loop plant life support system with an environmentally controlled growth chamber designed for conducting both fundamental and applied plant research during experiments extending as long as 135 days. APH was delivered to the ISS in parts aboard two commercial resupply missions: OA-7 in April 2017 and SpaceX-11 in June 2017, and was assembled and installed in the Japanese Experiment Module Kibo in November 2018. We report here on a 7-week-long hardware validation test that utilized a root module planted with both Arabidopsis (cv. Col 0) and wheat (cv. Apogee) plants. The validation test examined the APH’s ability to control light intensity, spectral quality, humidity, CO 2 concentration, photoperiod, temperature, and root zone moisture using commanding from ground facilities at the Kennedy Space Center (KSC). The test also demonstrated the execution of programmed experiment profiles that scheduled: (1) changes in environmental combinations (e.g., a daily photoperiod at constant relative humidity), (2) predetermined photographic events using the three APH cameras [overhead, sideview, and sideview near-infrared (NIR)], and (3) execution of experimental sequences during the life cycle of a crop (e.g., measure photosynthetic CO 2 drawdown experiments). Arabidopsis and wheat were grown in microgravity to demonstrate crew procedures, planting protocols and watering schemes within APH. The ability of APH to contain plant debris was assessed during the harvest of mature Arabidopsis plants. Wheat provided a large evaporative load that tested root zone moisture control and the recovery of transpired water by condensation. The wheat canopy was also used to validate the ability of APH to measure gas exchange of plants from non-invasive gas exchange measurements (i.e., canopy photosynthesis and respiration). These features were evaluated by executing experiment profiles that utilized the CO 2 drawdown technique to measure daily rates of canopy photosynthesis and dark-period CO 2 increase for respiration. This hardware validation test confirmed that APH can measure fundamental plant responses to spaceflight conditions.",,36,8858,True,True,True
PMC8671758,34925230,The Role of Estrogen Receptor α in Response to Longitudinal Bone Growth in ob/ob Mice,5,Lin-Yu Jin,2021 Dec 1,Frontiers in Endocrinology,10.3389/fendo.2021.749449,"The absence of leptin results in contrasting growth pattern of appendicular and axial bone growth in ob/ob mice. Endochondral bone formation is an important procedure of growth plate determining the bone growth, where this procedure is also regulated by estrogen and its receptor (ER) signaling pathway. The present study is undertaken to explore the roles of ERs in regulating the different growth patterns in ob/ob mice. In this study, C57BL/6 female mice were used as wild-type (WT) mice; ob/ob mice and WT mice were age-matched fed, and bone length is analyzed by X-ray plain film at the 12 weeks old. We confirm that ob/ob mice have shorter femoral length and longer spine length than WT mice ( p < 0.05). The contrasting expression patterns of chondrocyte proliferation proteins and hypertrophic marker proteins are also observed from the femur and spinal growth plate of ob/ob mice compared with WT mice ( p < 0.01). Spearman’s analysis showed that body length (axial and appendicular length) is positively related to the expression level of ERα in growth plate. Three-week-old female ob/ob mice are randomized divided into three groups: 1) ob/ob + ctrl, 2) ob/ob + ERα antagonist (MPP), and 3) ob/ob + ERβ antagonist (PHTPP). Age-matched C57BL/6 mice were also divided into three groups, same as the groups of ob/ob mice. MPP and PHTPP were administered by intraperitoneal injection for 6 weeks. However, the results of X-ray and H&E staining demonstrate that leptin deficiency seems to disturb the regulating effects of ER antagonists on longitudinal bone growth. These findings suggested that region-specific expression of ERα might be associated with contrasting phenotypes of axial and appendicular bone growth in ob/ob mice. However, ER signaling on longitudinal bone growth was blunted by leptin deficiency in ob/ob mice, and the underlying association between ERs and leptin needs to be explored in future work.",,30,4830,False,True,False
PMC10960378,38521963,"Genomic, functional, and metabolic enhancements in multidrug-resistant Enterobacter bugandensis facilitating its persistence and succession in the International Space Station",5,Pratyay Sengupta,2024 Mar 23,Microbiome,10.1186/s40168-024-01777-1,,,34,7308,True,True,True
PMC11929063,40123744,"Preclinical development of TAK-754, a high-performance AAV8-based vector expressing coagulation factor VIII",11,Johannes Lengler,2025 Jan 28,Molecular Therapy. Methods & Clinical Development,10.1016/j.omtm.2025.101424,"This report concerns the preclinical development of TAK-754, an AAV8-based human factor VIII (FVIII) vector designed to deliver a codon-optimized and CpG-depleted B domain-deleted F8 transgene under the control of a liver-specific promoter for gene therapy in patients with hemophilia A. A dose-dependent increase in plasma FVIII activity was detected in FVIII knockout mice at a dose of 1.0 × 10 12 TAK-754 capsid particles (CP)/kg or higher. This increase was shown to be in accordance with a dose-dependent decrease in blood loss in a hemostatic efficacy assay. TAK-754 (3.1 × 10 12 CP/kg) mediated long-term and stable FVIII expression in immunologically tolerant transgenic human FVIII mice. Toxicology and biodistribution assessments with a single administration of TAK-754 ranging between 1.9 × 10 12 and 5.0 × 10 13 CP/kg were conducted in male C57BL/6J mice. The highest TAK-754 dose occurred without TAK-754-related adverse clinical signs. Biodistribution profiling showed predominant detection in the liver with a low occurrence of vector DNA in other tissues. Integration site analysis revealed minimal vector integration, with no observations of clonal outgrowth or preferred integrations in genes previously implicated in hepatocellular carcinoma formation within the observation period. These preclinical studies demonstrate a good safety and efficacy profile for TAK-754.",,38,6235,False,True,False
PMC10058394,36983782,Brachypodium distachyon Seedlings Display Accession-Specific Morphological and Transcriptomic Responses to the Microgravity Environment of the International Space Station,3,Shih-Heng Su,2023 Feb 23,Life,10.3390/life13030626,"Plants have been recognized as key components of bioregenerative life support systems for space exploration, and many experiments have been carried out to evaluate their adaptability to spaceflight. Unfortunately, few of these experiments have involved monocot plants, which constitute most of the crops used on Earth as sources of food, feed, and fiber. To better understand the ability of monocot plants to adapt to spaceflight, we germinated and grew Brachypodium distachyon seedlings of the Bd21, Bd21-3, and Gaz8 accessions in a customized growth unit on the International Space Station, along with 1-g ground controls. At the end of a 4-day growth period, seedling organ’s growth and morphologies were quantified, and root and shoot transcriptomic profiles were investigated using RNA-seq. The roots of all three accessions grew more slowly and displayed longer root hairs under microgravity conditions relative to ground control. On the other hand, the shoots of Bd21-3 and Gaz-8 grew at similar rates between conditions, whereas those of Bd21 grew more slowly under microgravity. The three Brachypodium accessions displayed dramatically different transcriptomic responses to microgravity relative to ground controls, with the largest numbers of differentially expressed genes (DEGs) found in Gaz8 (4527), followed by Bd21 (1353) and Bd21-3 (570). Only 47 and six DEGs were shared between accessions for shoots and roots, respectively, including DEGs encoding wall-associated proteins and photosynthesis-related DEGs. Furthermore, DEGs associated with the “Oxidative Stress Response” GO group were up-regulated in the shoots and down-regulated in the roots of Bd21 and Gaz8, indicating that Brachypodium roots and shoots deploy distinct biological strategies to adapt to the microgravity environment. A comparative analysis of the Brachypodium oxidative-stress response DEGs with the Arabidopsis ROS wheel suggests a connection between retrograde signaling, light response, and decreased expression of photosynthesis-related genes in microgravity-exposed shoots. In Gaz8, DEGs were also found to preferentially associate with the “Plant Hormonal Signaling” and “MAP Kinase Signaling” KEGG pathways. Overall, these data indicate that Brachypodium distachyon seedlings exposed to the microgravity environment of ISS display accession- and organ-specific responses that involve oxidative stress response, wall remodeling, photosynthesis inhibition, expression regulation, ribosome biogenesis, and post-translational modifications. The general characteristics of these responses are similar to those displayed by microgravity-exposed Arabidopsis thaliana seedlings. However, organ- and accession-specific components of the response dramatically differ both within and between species. These results suggest a need to directly evaluate candidate-crop responses to microgravity to better understand their specific adaptability to this novel environment and develop cultivation strategies allowing them to strive during spaceflight.",,34,9889,True,True,True
PMC6036641,29738279,Cortical Thinning and Structural Bone Changes in Non-human Primates Following Single Fraction Whole Chest Radiation,10,Michael Farris,2018 May 8,Radiation research,10.1667/RR15007.1,"Stereotactic body radiation therapy (SBRT) is associated with an increased risk of vertebral compression fracture ( 1 – 5 ). While bone is typically considered radiation-resistant, fractures frequently occur within the first year of SBRT ( 6 – 11 ). Our purpose was to determine if rapid deterioration of bone occurs in vertebrae post-irradiation (IR). Sixteen male rhesus macaques non-human primates (NHPs) were analyzed after total chest irradiation (IR) to a midplane dose of 10 Gy. Ages at IR varied from 45 – 134 mo. Computed tomography (CT) scans were taken 2 mo prior to IR and 2, 4, 6, and 8 mo post-IR for all animals. Bone mineral density (BMD) and cortical thickness (Ct.Th) were calculated longitudinally for thoracic (T)9, lumbar (L)2, and L4 vertebral bodies; gross morphology and histopathology were assessed per vertebra. Greater mortality (related to pulmonary toxicity) was noted in NHPs < 50 mo at time of IR vs NHPs > 50mo (p = 0.03). Animals older than 50 mo at IR lost Ct.Th in T9 by 2 mo post IR (p = 0.0009), which persisted to 8 mo. In contrast, no loss of Ct.Th was observed in vertebrae out-of-field (L2 and L4). Loss of BMD was observed by 4 mo post-IR for T9, and 6 mo post IR for L2 and L4 (p < 0.01). For NHPs younger than 50 mo at IR, both Ct.Th and BMD decreased in T9, L2, and L4 by 2 mo post-IR (p < 0.05). Regions that exhibited the greatest degree of cortical thinning as determined from CT scans also exhibited increased porosity histologically. Rapid loss of Ct.Th was observed after high dose chest IR in NHPs. Younger age at IR was associated with increased pneumonitis related mortality, as well as greater loss of both BMD and Ct.Th at both in-and out-of-field vertebrae. Older NHPs exhibited rapid loss of BMD and Ct.Th from in-field vertebrae, but only loss of BMD in out of field vertebrae. Bone is sensitive to high dose radiation, and rapid loss of bone structure and density could facilitate fractures.",,21,3636,True,True,True
PMC6188462,21880668,To infinity … and beyond! Human spaceflight and life science,1,Millie Hughes-Fulford,2011 Sep,The FASEB Journal,10.1096/fj.11-0902ufm,,,10,2168,True,True,True
PMC7829349,33505359,Genomic and Functional Characterization of Enterococcus faecalis Isolates Recovered From the International Space Station and Their Potential for Pathogenicity,6,Noelle C Bryan,2021 Jan 11,Frontiers in Microbiology,10.3389/fmicb.2020.515319,"Enterococcus faecalis is a multidrug resistant, opportunistic human pathogen and a leading cause of hospital acquired infections. Recently, isolates have been recovered from the air and surfaces onboard the International Space Station (ISS). Pangenomic and functional analyses were carried out to assess their potential impact on astronaut health. Genomes of each ISS isolate, and both clinical and commensal reference strains, were evaluated for their core and unique gene content, acquired antibiotic resistance genes, phage, plasmid content, and virulence traits. In order to determine their potential survival when outside of the human host, isolates were also challenged with three weeks of desiccation at 30% relative humidity. Finally, pathogenicity of the ISS strains was evaluated in the model organism Caenorhabditis elegans. At the culmination of this study, there were no defining signatures that separated known pathogenic strains from the more commensal phenotypes using the currently available resources. As a result, the current reliance on database information alone must be shifted to experimentally evaluated genotypic and phenotypic characteristics of clinically relevant microorganisms.",,32,7643,True,True,True
PMC4896697,27173900,Reply to Bemm et al. and Arakawa: Identifying foreign genes in independent Hypsibius dujardini genome assemblies,2,Thomas C Boothby,2016 May 12,Proceedings of the National Academy of Sciences of the United States of America,10.1073/pnas.1601149113,,,2,0,False,True,False
